"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(64, 15)","(66, 38)","(81, 46)","(106, 39)","(103, 16)","(87, 8)",2025:01:24_03:29,2025:01:24_03:29,11s,1.0,0.0,0.0,0.0
"(67, 17)","(84, 11)","(98, 17)","(102, 37)","(83, 43)","(66, 31)",,,,,,,
"(67, 17)","(84, 11)","(98, 17)","(102, 38)","(84, 43)","(66, 31)",,,,,,,
"(67, 17)","(85, 11)","(103, 22)","(102, 38)","(78, 41)","(66, 31)",,,,,,,
"(67, 17)","(85, 11)","(103, 22)","(103, 36)","(83, 43)","(66, 31)",,,,,,,
"(64, 15)","(66, 38)","(80, 45)","(106, 39)","(101, 15)","(87, 8)",,,,,,,
"(64, 15)","(66, 38)","(80, 45)","(106, 39)","(101, 15)","(87, 8)",,,,,,,
"(67, 18)","(89, 12)","(102, 20)","(103, 36)","(79, 41)","(66, 32)",,,,,,,
"(67, 18)","(89, 12)","(102, 20)","(103, 36)","(79, 41)","(66, 32)",,,,,,,
"(86, 11)","(102, 21)","(103, 36)","(84, 43)","(66, 32)","(66, 19)",,,,,,,
